scenario	maximum_symptom_onset_time	susceptible_population_proportion	antiviral_coverage_time	antiviral_success_rate	hospital_success_without_antiviral	hospital_success_with_antiviral	hospital_beds_per_person	antiviral_doses_per_person	hospital_stay_duration_min	hospital_stay_duration_max	region	pop_size	deaths	deaths_in_home	deaths_in_hospital	per_capita_deaths	per_capita_deaths_in_home	per_capita_deaths_in_hospital
259	120.0	0.25	15.0	0.8	0.3	0.5	0.005	0.2	2.0	5.0	Region_2	2825	278	157	121	0.09840707964601769	0.05557522123893805	0.04283185840707965
259	120.0	0.25	15.0	0.8	0.3	0.5	0.005	0.2	2.0	5.0	Region_3	2902	332	199	133	0.11440385940730531	0.06857339765678842	0.04583046175051689
259	120.0	0.25	15.0	0.8	0.3	0.5	0.005	0.2	2.0	5.0	Region_4	3063	369	242	127	0.12047012732615084	0.07900750897812601	0.04146261834802481
257	120.0	0.75	10.0	0.8	0.3	0.5	0.005	0.2	2.0	5.0	Region_0	387	18	0	18	0.046511627906976744	0.0	0.046511627906976744
257	120.0	0.75	10.0	0.8	0.3	0.5	0.005	0.2	2.0	5.0	Region_1	823	225	117	108	0.2733900364520049	0.1421628189550425	0.13122721749696234
257	120.0	0.75	10.0	0.8	0.3	0.5	0.005	0.2	2.0	5.0	Region_2	2825	1694	1489	205	0.5996460176991151	0.5270796460176991	0.07256637168141593
257	120.0	0.75	10.0	0.8	0.3	0.5	0.005	0.2	2.0	5.0	Region_3	2902	1754	1541	213	0.6044107512060648	0.531013094417643	0.07339765678842178
257	120.0	0.75	10.0	0.8	0.3	0.5	0.005	0.2	2.0	5.0	Region_4	3063	1939	1728	211	0.633039503754489	0.564152791380999	0.06888671237349005
260	60.0	0.5	15.0	0.8	0.3	0.5	0.005	0.2	2.0	5.0	Region_0	387	20	0	20	0.05167958656330749	0.0	0.05167958656330749
260	60.0	0.5	15.0	0.8	0.3	0.5	0.005	0.2	2.0	5.0	Region_1	823	48	0	48	0.0583232077764277	0.0	0.0583232077764277
260	60.0	0.5	15.0	0.8	0.3	0.5	0.005	0.2	2.0	5.0	Region_2	2825	1059	964	95	0.37486725663716813	0.34123893805309735	0.033628318584070796
