scenario	maximum_symptom_onset_time	susceptible_population_proportion	antiviral_coverage_time	antiviral_success_rate	hospital_success_without_antiviral	hospital_success_with_antiviral	hospital_beds_per_person	antiviral_doses_per_person	hospital_stay_duration_min	hospital_stay_duration_max
224	60.0	0.5	15.0	0.5	5.0	0.75	0.003	0.2	2.0	5.0
225	120.0	0.5	15.0	0.5	5.0	0.75	0.003	0.2	2.0	5.0
226	60.0	0.75	15.0	0.5	5.0	0.75	0.003	0.2	2.0	5.0
227	120.0	0.75	15.0	0.5	5.0	0.75	0.003	0.2	2.0	5.0
228	60.0	0.25	10.0	0.8	5.0	0.75	0.003	0.2	2.0	5.0
229	120.0	0.25	10.0	0.8	5.0	0.75	0.003	0.2	2.0	5.0
230	60.0	0.5	10.0	0.8	5.0	0.75	0.003	0.2	2.0	5.0
231	120.0	0.5	10.0	0.8	5.0	0.75	0.003	0.2	2.0	5.0
232	60.0	0.75	10.0	0.8	5.0	0.75	0.003	0.2	2.0	5.0
233	120.0	0.75	10.0	0.8	5.0	0.75	0.003	0.2	2.0	5.0
234	60.0	0.25	15.0	0.8	5.0	0.75	0.003	0.2	2.0	5.0
235	120.0	0.25	15.0	0.8	5.0	0.75	0.003	0.2	2.0	5.0
236	60.0	0.5	15.0	0.8	5.0	0.75	0.003	0.2	2.0	5.0
237	120.0	0.5	15.0	0.8	5.0	0.75	0.003	0.2	2.0	5.0
238	60.0	0.75	15.0	0.8	5.0	0.75	0.003	0.2	2.0	5.0
239	120.0	0.75	15.0	0.8	5.0	0.75	0.003	0.2	2.0	5.0
240	60.0	0.25	10.0	0.5	0.3	0.5	0.005	0.2	2.0	5.0
241	120.0	0.25	10.0	0.5	0.3	0.5	0.005	0.2	2.0	5.0
242	60.0	0.5	10.0	0.5	0.3	0.5	0.005	0.2	2.0	5.0
243	120.0	0.5	10.0	0.5	0.3	0.5	0.005	0.2	2.0	5.0
244	60.0	0.75	10.0	0.5	0.3	0.5	0.005	0.2	2.0	5.0
245	120.0	0.75	10.0	0.5	0.3	0.5	0.005	0.2	2.0	5.0
246	60.0	0.25	15.0	0.5	0.3	0.5	0.005	0.2	2.0	5.0
247	120.0	0.25	15.0	0.5	0.3	0.5	0.005	0.2	2.0	5.0
248	60.0	0.5	15.0	0.5	0.3	0.5	0.005	0.2	2.0	5.0
249	120.0	0.5	15.0	0.5	0.3	0.5	0.005	0.2	2.0	5.0
250	60.0	0.75	15.0	0.5	0.3	0.5	0.005	0.2	2.0	5.0
